CustomerID,FullName,Age,City,JoinDate,Churn,OrderID,OrderDate,ShipMode,ProductID,ProductName,Category,Price,Cost,Quantity,Discount,Days_Since_Last_Order,Total_Orders
1955,  Customer_24  ,41,Cairo,23-08-2023,0,11968,23-08-2023,Standard,111,Product_111,Electronics,682.11,319.91,1,0.05,371,6
1276,Customer_25,31,Mansoura,12/07/2023,0,10591,12/07/2023,Same Day,109,Product_109,Electronics,1478.84,729.11,1,,391,8
2184,customer_26,49,Aswan,21-01-2023,0,10838,21-01-2023,Same Day,138,Product_138,Sports,132.42,70.43,4,0.2,338,9
1459,CUSTOMER_27,38,Alexandria,09-05-2022,0,13782,09-05-2022,Express,147,Product_147,Electronics,1090.85,506.39,4,0.05,338,6
2337,customer_28,42,Giza,03/27/2021,0,11345,03/27/2021,Same Day,144,Product_144,Sports,892.47,519.66,4,0.2,388,7
1021,  Customer_29  ,33,Alexandria,07/08/2022,0,10548,07/08/2022,Same Day,106,Product_106,Electronics,775.78,516.1,2,0.2,908,6
1252,Customer_30,10,Luxor,04/21/2023,0,13085,04/21/2023,Express,101,Product_101,Home Appliances,1457.73,843.5,4,,621,4
1747,Customer_31,9,Mansoura,07/23/2021,1,13527,07/23/2021,Same Day,125,Product_125,Clothing,237.99,127.09,3,0.05,685,4
1856,Customer_32,48,Cairo,14-01-2020,1,10220,14-01-2020,Standard,116,Product_116,Clothing,1349.2,862.22,5,,1565,2
1474,customer_33,44,Giza,22-11-2020,1,10875,22-11-2020,Express,115,Product_115,Clothing,1052.3,657.07,4,0.1,1501,3
2082,Customer_34,46,Alexandria,11/30/2023,0,13462,11/30/2023,Express,134,Product_134,Home Appliances,425.54,217.08,2,0.05,398,8
1510,customer_35,42,Mansoura,05/15/2022,0,12725,05/15/2022,Express,117,Product_117,Sports,1357.42,789.0,3,,532,5
2499,Customer_36,43,Alexandria,27-11-2021,0,11196,27-11-2021,Standard,103,Product_103,Clothing,672.48,416.23,2,,440,4
1699,Customer_37,54,Mansoura,23-07-2021,0,12709,23-07-2021,Same Day,103,Product_103,Home Appliances,1230.63,582.87,2,,433,9
1975,CUSTOMER_38,46,Luxor,11/14/2020,1,12731,11/14/2020,Same Day,137,Product_137,Home Appliances,613.81,312.97,2,0.1,1509,2
1189,Customer_39,55,Alexandria,16-03-2021,0,13152,16-03-2021,Same Day,117,Product_117,Elec,1283.85,554.28,2,0.1,580,6
1957,Customer_40,42,Luxor,20-11-2021,0,10335,20-11-2021,Standard,149,Product_149,Sports,973.11,677.58,1,,390,7
1686,Customer_41,35,Aswan,07/28/2020,0,10224,07/28/2020,Same Day,138,Product_138,Home Appliances,254.52,108.37,5,,531,4
1957,Customer_42,42,Aswan,08-07-2020,0,12918,08-07-2020,Same Day,101,Product_101,Sports,992.01,446.98,1,0.1,390,7
1562,customer_43,27,Giza,17-02-2022,1,12082,17-02-2022,Standard,107,Product_107,Clothing,327.45,178.12,3,,1049,6
2267,Customer_44,34,Luxor,07/17/2020,1,13941,07/17/2020,Standard,126,Product_126,Clothing,647.29,426.94,1,,919,2
1831,CUSTOMER_45,42,Mansoura,05-01-2022,1,10187,05-01-2022,Same Day,147,Product_147,Clothing,296.93,150.47,3,,1092,2
2154,Customer_46,42,Giza,05-12-2021,1,11247,05-12-2021,Standard,139,Product_139,Electronics,81.92,51.66,4,0.2,1123,4
1646,Customer_47,38,Alexandria,21-05-2023,0,12690,21-05-2023,Standard,119,Product_119,Electronics,357.24,215.35,3,0.05,591,3
1020,  Customer_48  ,19,Alexandria,25-06-2021,0,13957,25-06-2021,Standard,130,Product_130,Sports,827.74,489.69,1,,534,7
1840,Customer_49,49,Mansoura,03/29/2020,1,10962,03/29/2020,Express,143,Product_143,Sports,748.26,488.99,1,,1047,2
1166,Customer_50,52,Cairo,03-02-2024,0,13015,03-02-2024,Express,114,Product_114,Electronics,777.17,314.17,3,,333,3
2297,Customer_51,64,Cairo,29-07-2022,0,10493,29-07-2022,Same Day,113,Product_113,Home Appliances,409.15,277.71,1,0.1,887,3
1387,Customer_52,46,Alexandria,03-01-2023,1,11886,03-01-2023,Same Day,120,Product_120,Sports,1043.48,676.98,3,,622,2
1600,Customer_53,40,Mansoura,12-09-2020,1,10310,12-09-2020,Standard,126,Product_126,Sports,1071.18,729.86,2,,1115,4
1315,CUSTOMER_54,24,Cairo,14-02-2022,1,12568,14-02-2022,Same Day,127,Product_127,Clothing,569.05,363.1,5,,1052,1
1013,Customer_55,62,Luxor,10-06-2020,0,11604,10-06-2020,Express,125,Product_125,Sports,1327.7,881.03,3,0.2,867,3
1241,customer_56,43,Alexandria,02/04/2023,0,11563,02/04/2023,Same Day,109,Product_109,Sports,983.83,453.47,2,,482,7
1776,Customer_57,42,Aswan,23-08-2021,1,13982,23-08-2021,Same Day,141,Product_141,Home Appliances,1083.91,537.37,2,,603,2
2369,CUSTOMER_58,36,Luxor,11-07-2023,1,10368,11-07-2023,Express,148,Product_148,Sports,452.14,223.61,2,0.1,540,4
1564,Customer_59,35,Mansoura,20-06-2023,0,13546,20-06-2023,Express,112,Product_112,Home Appliances,50.89,22.02,2,0.2,561,2
1897,Customer_60,50,Aswan,10-01-2022,1,10745,10-01-2022,Standard,110,Product_110,Clothing,1304.79,807.5,3,,1003,4
2363,Customer_61,24,Luxor,28-03-2023,0,12078,28-03-2023,Standard,106,Product_106,Electronics,1242.52,547.77,1,,645,4
1091,Customer_62,64,Cairo,28-01-2021,0,13898,28-01-2021,Standard,134,Product_134,Clothing,228.63,95.05,2,,551,6
2390,CUSTOMER_63,61,Cairo,13-12-2023,0,11255,13-12-2023,Same Day,141,Product_141,Home Appliances,592.45,374.8,4,,385,5
1955,Customer_64,34,Aswan,22-05-2020,0,13921,22-05-2020,Same Day,119,Product_119,Home Appliances,1008.94,677.4,2,,371,6
2478,Customer_65,27,Giza,03-04-2020,0,10997,03-04-2020,Same Day,106,Product_106,Sports,995.56,626.44,1,,653,5
2451,customer_66,9,Alexandria,16-09-2023,0,10496,16-09-2023,Express,102,Product_102,Sports,1297.51,840.27,1,,403,3
1508,Customer_67,21,Aswan,11-04-2021,0,11589,11-04-2021,Same Day,115,Product_115,elect,253.39,146.63,5,0.1,428,6
1775,Customer_68,50,Mansoura,08/15/2021,0,10963,08/15/2021,Express,117,Product_117,Home Appliances,673.41,448.71,5,,454,7
1034,Customer_69,44,Alexandria,06/12/2020,0,12004,06/12/2020,Same Day,116,Product_116,Home Appliances,190.98,104.85,2,,763,3
1205,CUSTOMER_70,47,Luxor,21-04-2021,0,11198,21-04-2021,Same Day,128,Product_128,Clothing,614.91,428.28,2,,417,5
2104,Customer_71,12,Mansoura,25-07-2020,1,12345,25-07-2020,Express,121,Product_121,Elec,71.91,30.99,5,,735,5
2411,CUSTOMER_72,34,Mansoura,17-02-2022,0,11814,17-02-2022,Express,108,Product_108,Clothing,1352.5,869.33,2,,1049,2
2025,Customer_73,60,Cairo,07/23/2021,1,11388,07/23/2021,Express,110,Product_110,Sports,814.21,482.35,4,0.1,1258,1
2021,customer_74,38,Luxor,07/17/2022,0,11109,07/17/2022,Standard,110,Product_110,Sports,1282.21,736.24,3,,457,4
2413,  Customer_75  ,20,Cairo,07/25/2023,0,10576,07/25/2023,Standard,110,Product_110,Clothing,136.86,84.54,5,0.05,526,4
1565,Customer_76,38,Cairo,01/17/2022,1,13160,01/17/2022,Same Day,109,Product_109,Sports,379.81,247.67,5,,914,4
2129,Customer_77,28,Giza,29-11-2020,0,10053,29-11-2020,Same Day,128,Product_128,Clothing,426.1,280.74,1,,459,4
1702,Customer_78,45,Cairo,01/28/2022,1,13701,01/28/2022,Same Day,124,Product_124,Home Appliances,610.7,276.41,2,,387,5
1401,Customer_79,40,Alexandria,28-12-2021,1,13432,28-12-2021,Standard,119,Product_119,Home Appliances,1214.16,557.43,5,,1100,3
1729,Customer_80,48,Mansoura,05-03-2021,0,13547,05-03-2021,Same Day,133,Product_133,Sports,610.51,247.16,5,0.1,592,3
1161,Customer_81,21,Cairo,10/04/2023,0,10228,10/04/2023,Express,104,Product_104,Electronics,346.75,152.41,4,0.1,455,6
1201,Customer_82,33,Aswan,06/30/2021,0,10778,06/30/2021,Express,103,Product_103,Home Appliances,144.24,69.11,2,,765,5
1995,Customer_83,56,Alexandria,12/08/2023,0,13902,12/08/2023,Standard,142,Product_142,Sports,165.26,101.85,3,,390,2
1269,Customer_84,19,Luxor,10/31/2023,0,11557,10/31/2023,Express,112,Product_112,Electronics,1152.07,625.26,4,,428,5
1815,Customer_85,24,Mansoura,20-08-2023,1,13830,20-08-2023,Express,118,Product_118,Sports,694.96,436.0,3,0.2,439,6
2294,Customer_86,42,Aswan,26-05-2020,0,10984,26-05-2020,Same Day,123,Product_123,Clothing,1102.96,602.17,1,,673,5
1455,customer_87,44,Aswan,06/01/2023,0,10372,06/01/2023,Express,120,Product_120,Sports,1039.32,588.96,5,,347,6
2485,Customer_88,32,Luxor,07/24/2023,0,10468,07/24/2023,Express,106,Product_106,Clothing,246.28,,4,,527,4
2275,  Customer_89  ,35,Aswan,16-12-2020,0,12467,16-12-2020,Standard,134,Product_134,Home Appliances,257.19,162.79,3,,552,5
2016,Customer_90,47,Alexandria,29-12-2022,0,11849,29-12-2022,Express,142,Product_142,Home Appliances,1145.25,718.57,2,,478,6
1295,Customer_91,52,Luxor,02-02-2024,0,10531,02-02-2024,Express,102,Product_102,Sports,1095.84,539.45,1,,334,5
1719,Customer_92,23,Aswan,05/16/2021,0,11423,05/16/2021,Same Day,130,Product_130,Electronics,598.14,298.22,1,,650,4
1337,Customer_93,45,Luxor,11/30/2020,0,13035,11/30/2020,Same Day,109,Product_109,Sports,162.26,75.6,5,,352,8
1878,Customer_94,62,Luxor,04-08-2022,1,11207,04-08-2022,Same Day,127,Product_127,Sports,67.54,43.51,5,,881,3
2076,Customer_95,38,Cairo,02/16/2022,0,13932,02/16/2022,Standard,142,Product_142,Home Appliances,467.83,291.97,3,,827,6
1791,customer_96,23,Cairo,07/06/2021,1,10561,07/06/2021,Same Day,134,Product_134,Home Appliances,63.37,36.93,3,,648,4
1216,Customer_97,23,Cairo,03-08-2023,0,10089,03-08-2023,Express,140,Product_140,Sports,383.61,180.93,1,,517,5
1763,CUSTOMER_98,37,Aswan,11/10/2023,0,11639,11/10/2023,Standard,124,Product_124,Home Appliances,658.28,,3,,403,5
1187,Customer_99,55,Mansoura,02/14/2023,0,13777,02/14/2023,Express,149,Product_149,Clothing,226.05,93.83,5,,346,6
1379,Customer_100,39,Alexandria,03/25/2021,1,11406,03/25/2021,Express,117,Product_117,Sports,201.2,83.23,1,,1120,2
1492,Customer_101,42,Aswan,03-11-2023,0,10368,03-11-2023,Same Day,129,Product_129,Home Appliances,1349.83,615.71,1,,425,4
2064,customer_102,25,Cairo,10/26/2021,0,13145,10/26/2021,Standard,136,Product_136,Sports,898.93,386.68,2,,400,5
2180,Customer_103,54,Luxor,04/24/2020,1,11292,04/24/2020,Standard,112,Product_112,Home Appliances,1404.96,796.38,2,,992,4
1014,  Customer_104  ,22,Aswan,04/14/2021,0,10014,04/14/2021,Same Day,131,Product_131,Clothing,551.45,,3,,699,3
1064,Customer_105,32,Luxor,03/06/2020,0,13400,03/06/2020,Standard,149,Product_149,Clothing,1031.86,550.48,3,0.2,471,3
1520,customer_106,49,Luxor,10/08/2021,0,13866,10/08/2021,Express,109,Product_109,Sports,346.8,200.53,5,,365,6
2367,  Customer_107  ,9,Luxor,01-04-2022,1,13463,01-04-2022,Standard,119,Product_119,Clothing,946.59,565.81,5,0.2,825,7
2152,Customer_108,42,Giza,07/02/2021,0,13781,07/02/2021,Express,146,Product_146,Clothing,237.9,141.42,2,0.1,442,6
1647,Customer_109,24,Mansoura,05/15/2020,0,13505,05/15/2020,Standard,146,Product_146,Home Appliances,53.02,25.36,1,,646,3
2495,  Customer_110  ,40,Alexandria,03/08/2021,1,12391,03/08/2021,Standard,117,Product_117,Sports,1400.72,900.51,4,0.2,1212,3
2086,Customer_111,34,Alexandria,03/07/2023,0,11218,03/07/2023,Same Day,102,Product_102,Home Appliances,854.6,577.12,4,,561,5
2162,Customer_112,71,Cairo,10-01-2024,1,11945,10-01-2024,Same Day,140,Product_140,Home Appliances,1394.06,689.76,3,,327,3
1592,Customer_113,34,Giza,10/06/2021,0,11059,10/06/2021,Standard,105,Product_105,Electronics,534.06,216.36,4,,569,6
1391,Customer_114,67,Aswan,03/11/2021,1,10916,03/11/2021,Express,139,Product_139,Clothing,525.29,351.81,4,,894,2
1418,Customer_115,48,Aswan,09/04/2023,0,12252,09/04/2023,Same Day,148,Product_148,Home Appliances,630.95,427.19,2,,485,4
1288,CUSTOMER_116,27,Alexandria,10/19/2022,0,13891,10/19/2022,Same Day,116,Product_116,Home Appliances,1073.76,445.92,1,,593,6
1378,Customer_117,44,Mansoura,03/21/2022,1,11674,03/21/2022,Same Day,117,Product_117,Home Appliances,870.42,349.46,5,,805,3
1230,Customer_118,35,Luxor,09-08-2023,0,10775,09-08-2023,Standard,127,Product_127,Clothing,1391.76,897.58,2,,511,4
2017,CUSTOMER_119,43,Cairo,07/28/2022,0,11080,07/28/2022,Express,107,Product_107,Clothing,86.89,42.61,5,,406,3
1040,Customer_120,29,Mansoura,10/19/2020,0,11133,10/19/2020,Express,108,Product_108,Clothing,1076.88,726.22,2,,451,6
2051,Customer_121,65,Alexandria,26-06-2021,1,10685,26-06-2021,Standard,108,Product_108,Sports,528.98,245.99,2,0.2,788,3
1134,customer_122,53,Giza,10/12/2020,0,13567,10/12/2020,Express,123,Product_123,Home Appliances,311.34,204.97,4,,623,2
1200,customer_123,40,Cairo,05/20/2021,0,12765,05/20/2021,Same Day,132,Product_132,Clothing,790.07,332.3,5,,673,5
1779,Customer_124,65,Alexandria,02/23/2023,0,10224,02/23/2023,Express,143,Product_143,Home Appliances,782.34,374.11,2,,678,3
1929,Customer_125,41,Aswan,01/08/2023,0,13457,01/08/2023,Same Day,147,Product_147,Sports,248.67,172.06,4,0.05,502,5
2056,Customer_126,56,Cairo,22-06-2021,0,10063,22-06-2021,Same Day,118,Product_118,Electronics,342.75,160.87,3,,1028,4
2071,Customer_127,40,Alexandria,04/12/2023,0,11787,04/12/2023,Standard,138,Product_138,Sports,641.84,282.35,5,0.2,578,4
1502,  Customer_128  ,45,Aswan,05/27/2022,0,12995,05/27/2022,Same Day,112,Product_112,Clothing,642.78,422.38,2,,542,3
1406,Customer_129,38,Aswan,04/10/2023,0,10960,04/10/2023,Express,115,Product_115,Clothing,510.46,222.22,3,,399,5
1804,Customer_130,41,Luxor,03/28/2022,0,13850,03/28/2022,Express,128,Product_128,Sports,265.39,113.92,4,0.2,375,6
1098,Customer_131,42,Giza,11-01-2022,0,13973,11-01-2022,Express,138,Product_138,Home Appliances,56.34,28.0,2,0.2,700,4
1683,customer_132,29,Luxor,25-03-2021,1,11375,25-03-2021,Express,131,Product_131,Clothing,1456.84,860.41,4,,1334,2
1725,  Customer_133  ,33,Alexandria,10/10/2020,0,13534,10/10/2020,Express,109,Product_109,Clothing,1418.07,869.59,4,,504,9
1960,Customer_134,36,Mansoura,11/09/2022,1,13915,11/09/2022,Same Day,108,Product_108,Sports,751.29,499.14,4,0.05,784,2
1612,Customer_135,43,Luxor,10/07/2022,0,12367,10/07/2022,Standard,146,Product_146,Home Appliances,1492.83,,5,,521,7
2485,Customer_136,39,Mansoura,05-07-2020,0,10356,05-07-2020,Standard,119,Product_119,Sports,1026.8,531.91,3,,527,4
1642,Customer_137,57,Aswan,04/06/2020,1,10092,04/06/2020,Express,108,Product_108,Sports,149.84,76.07,3,,1731,1
2028,Customer_138,52,Alexandria,08/12/2020,0,12742,08/12/2020,Same Day,134,Product_134,Home Appliances,220.69,144.35,1,,999,3
2241,Customer_139,37,Giza,09-11-2020,0,11323,09-11-2020,Standard,104,Product_104,Home Appliances,1378.36,850.65,2,0.05,478,5
1502,CUSTOMER_140,60,Mansoura,09-07-2023,0,13797,09-07-2023,Express,131,Product_131,Electronics,963.58,647.17,4,,542,3
1766,Customer_141,68,Alexandria,23-11-2020,1,11517,23-11-2020,Same Day,138,Product_138,Sports,1272.62,877.1,2,0.2,1174,5
1397,  Customer_142  ,9,Mansoura,10/25/2023,0,11677,10/25/2023,Standard,103,Product_103,Home Appliances,1352.49,662.74,3,,434,5
1870,Customer_143,53,Luxor,14-05-2022,0,13666,14-05-2022,Same Day,135,Product_135,Clothing,699.52,390.96,3,,694,4
1794,Customer_144,29,Alexandria,06-05-2023,1,11412,06-05-2023,Express,119,Product_119,Elec,120.36,70.96,4,,606,3
1392,Customer_145,52,Luxor,10-05-2020,0,11634,10-05-2020,Same Day,143,Product_143,Sports,323.01,145.08,5,0.1,350,4
1206,  Customer_146  ,58,Cairo,27-02-2022,1,13864,27-02-2022,Standard,129,Product_129,Home Appliances,146.53,60.96,4,0.2,966,2
2038,Customer_147,26,Alexandria,20-02-2022,1,12481,20-02-2022,Standard,110,Product_110,Electronics,323.67,213.73,4,0.05,881,3
1891,Customer_148,12,Mansoura,05/05/2023,0,11125,05/05/2023,Same Day,112,Product_112,Electronics,645.27,361.78,1,,431,5
2484,customer_149,52,Cairo,08/16/2022,1,10840,08/16/2022,Standard,146,Product_146,Clothing,221.39,126.47,5,0.2,869,2
1863,CUSTOMER_150,42,Luxor,12/19/2022,0,11401,12/19/2022,Same Day,130,Product_130,Elec,291.76,165.27,2,0.2,355,4
1742,CUSTOMER_151,14,Luxor,05/29/2021,1,11606,05/29/2021,Same Day,130,Product_130,Sports,696.44,436.31,5,,1313,2
2264,Customer_152,77,Mansoura,02/07/2023,0,13956,02/07/2023,Express,118,Product_118,Home Appliances,543.25,241.01,4,,694,3
1563,Customer_153,49,Cairo,24-01-2020,1,13409,24-01-2020,Express,124,Product_124,Electronics,728.1,425.37,4,,737,4
2020,CUSTOMER_154,50,Aswan,25-10-2023,0,13071,25-10-2023,Same Day,132,Product_132,Electronics,672.3,363.61,4,,434,3
1095,Customer_155,60,Giza,01/16/2024,1,10897,01/16/2024,Standard,109,Product_109,Sports,984.49,658.71,4,0.2,351,4
1484,CUSTOMER_156,31,Mansoura,22-08-2020,0,12931,22-08-2020,Express,147,Product_147,Clothing,1408.92,783.2,4,,440,8
2430,Customer_157,41,Luxor,10/28/2023,0,12825,10/28/2023,Standard,124,Product_124,Clothing,206.4,140.95,5,,399,4
1230,Customer_158,20,Alexandria,04-01-2023,0,10491,04-01-2023,Same Day,126,Product_126,Home Appliances,193.93,98.12,4,,511,4
1748,Customer_159,30,Cairo,30-06-2021,0,13713,30-06-2021,Standard,103,Product_103,Sports,1286.57,887.82,3,,792,3
2194,Customer_160,45,Aswan,08/05/2023,0,13131,08/05/2023,Standard,123,Product_123,Clothing,784.28,519.62,3,0.05,515,2
1540,Customer_161,15,Giza,11/27/2021,0,12860,11/27/2021,Same Day,111,Product_111,Home Appliances,1161.29,668.07,1,,502,4
2059,CUSTOMER_162,30,Alexandria,08/16/2020,1,11532,08/16/2020,Express,110,Product_110,Home Appliances,362.36,183.4,2,,1599,1
1524,Customer_163,26,Cairo,24-08-2021,0,12439,24-08-2021,Express,136,Product_136,Clothing,1251.85,641.92,3,0.2,1226,3
2183,Customer_164,42,Aswan,06/09/2022,0,11977,06/09/2022,Standard,113,Product_113,Sports,1389.58,877.97,1,0.05,448,3
2266,Customer_165,48,Mansoura,11/19/2020,1,13190,11/19/2020,Same Day,129,Product_129,Electronics,971.45,557.8,5,,1107,3
2109,Customer_166,51,Aswan,18-07-2022,0,11798,18-07-2022,Same Day,138,Product_138,Clothing,203.52,105.93,2,,622,5
1577,Customer_167,54,Mansoura,01/07/2020,1,11494,01/07/2020,Express,113,Product_113,Electronics,1348.18,796.53,4,,776,4
1681,Customer_168,60,Cairo,18-01-2024,0,11351,18-01-2024,Same Day,126,Product_126,Electronics,1199.11,743.41,4,0.05,349,4
1556,Customer_169,49,Aswan,13-01-2024,0,12068,13-01-2024,Same Day,120,Product_120,Sports,1138.77,463.33,5,0.1,354,5
2012,Customer_170,68,Giza,23-06-2021,0,11120,23-06-2021,Standard,105,Product_105,Sports,103.26,44.09,2,,682,5
1645,CUSTOMER_171,41,Aswan,10/22/2022,0,11838,10/22/2022,Standard,120,Product_120,Home Appliances,1208.5,517.66,3,,344,7
1795,Customer_172,37,Cairo,31-12-2020,1,12560,31-12-2020,Express,114,Product_114,Sports,250.03,117.41,2,,1462,3
2051,Customer_173,49,Alexandria,11/05/2022,1,12955,11/05/2022,Express,145,Product_145,Home Appliances,372.46,196.7,1,,788,3
2363,customer_174,36,Alexandria,05-08-2020,0,12762,05-08-2020,Standard,114,Product_114,Clothing,886.85,568.56,5,,645,4
2354,Customer_175,67,Aswan,04-07-2023,0,12991,04-07-2023,Same Day,108,Product_108,Electronics,434.22,219.42,3,,415,3
2371,Customer_176,56,Aswan,03-09-2021,1,11663,03-09-2021,Same Day,148,Product_148,Sports,1008.95,408.87,2,,870,3
2496,Customer_177,51,Mansoura,01-08-2023,0,12397,01-08-2023,Standard,113,Product_113,Clothing,931.7,507.78,2,0.05,519,3
2254,Customer_178,41,Cairo,11/05/2022,0,13203,11/05/2022,Standard,124,Product_124,Home Appliances,206.82,144.56,3,,788,5
1189,Customer_179,33,Mansoura,01-06-2023,0,10545,01-06-2023,Standard,115,Product_115,Sports,1001.22,505.32,1,0.05,580,6
2248,CUSTOMER_180,50,Giza,11-02-2021,0,10598,11-02-2021,Standard,101,Product_101,Electronics,1389.73,956.66,1,,333,4
2408,Customer_181,23,Alexandria,09-11-2020,0,12079,09-11-2020,Same Day,122,Product_122,Clothing,283.61,122.07,2,0.05,456,5
2400,Customer_182,63,Luxor,02/04/2022,1,12044,02/04/2022,Same Day,134,Product_134,Sports,915.74,413.85,4,,762,5
2306,CUSTOMER_183,37,Luxor,11/26/2020,0,10258,11/26/2020,Express,140,Product_140,Sports,545.7,336.83,3,,594,6
1632,Customer_184,44,Cairo,01/09/2023,0,10475,01/09/2023,Standard,103,Product_103,Clothing,716.44,394.3,1,,723,4
1627,Customer_185,26,Cairo,22-12-2022,0,13907,22-12-2022,Express,126,Product_126,Home Appliances,466.15,293.46,1,,729,5
1972,Customer_186,50,Luxor,02-01-2020,1,12872,02-01-2020,Same Day,114,Product_114,Home Appliances,563.49,371.38,1,0.1,1335,5
2282,Customer_187,33,Cairo,05/11/2023,1,11905,05/11/2023,Express,141,Product_141,Sports,91.92,43.69,5,,601,3
2382,Customer_188,49,Alexandria,25-10-2021,1,13019,25-10-2021,Same Day,108,Product_108,Home Appliances,1473.25,891.09,4,,907,6
1709,Customer_189,51,Giza,09/27/2022,0,10919,09/27/2022,Same Day,149,Product_149,Home Appliances,955.96,556.64,1,,677,5
2479,Customer_190,30,Giza,02/09/2020,0,12080,02/09/2020,Express,116,Product_116,Clothing,776.02,510.98,4,0.2,378,3
2434,Customer_191,23,Mansoura,08/17/2020,0,12946,08/17/2020,Express,142,Product_142,Home Appliances,606.39,320.8,2,,751,4
1648,  Customer_192  ,62,Alexandria,01/13/2022,0,10387,01/13/2022,Standard,121,Product_121,Home Appliances,832.09,345.78,2,,504,4
1317,Customer_193,37,Cairo,21-09-2021,0,13869,21-09-2021,Same Day,110,Product_110,Clothing,601.15,344.01,5,0.1,377,6
2248,Customer_194,43,Cairo,05/05/2021,0,11861,05/05/2021,Standard,125,Product_125,Sports,571.87,393.25,4,,333,4
2257,Customer_195,47,Mansoura,04/28/2020,1,13632,04/28/2020,Standard,138,Product_138,Sports,722.72,292.26,3,,625,3
1683,CUSTOMER_196,21,Mansoura,05/08/2021,1,10797,05/08/2021,Same Day,122,Product_122,Clothing,450.18,,5,,1334,2
1663,Customer_197,46,Cairo,07-03-2023,0,12503,07-03-2023,Express,149,Product_149,Elec,311.07,,1,,521,6
2397,Customer_198,41,Cairo,10-06-2020,0,11617,10-06-2020,Standard,148,Product_148,Clothing,857.08,539.75,2,,995,3
2495,Customer_199,30,Alexandria,06/24/2020,1,13215,06/24/2020,Standard,147,Product_147,Electronics,1272.01,632.17,2,,1212,3
2256,  Customer_200  ,22,Mansoura,02/07/2024,0,11925,02/07/2024,Same Day,146,Product_146,Home Appliances,271.6,128.12,3,0.2,329,8
